Rank,Title,Movie ID,Similarity
1,Aliens vs Predator: Requiem,440,0.28676966733820225
2,Aliens,679,0.26901379342448517
3,Falcon Rising,270938,0.2605130246476754
4,Independence Day,602,0.255608593705383
5,Titan A.E.,7450,0.25038669783359574
6,Battle: Los Angeles,44943,0.24511108480187255
7,Predators,34851,0.24455799402225925
8,Small Soldiers,11551,0.2367785320221084
9,Jupiter Ascending,76757,0.23179316248638276
10,Meet Dave,11260,0.23174488732966073
11,U.F.O.,146631,0.2278389747471728
12,Lifeforce,11954,0.2252817784447915
13,Attack the Block,59678,0.21853668936906193
14,The Twilight Saga: Breaking Dawn - Part 2,50620,0.21239769762143662
15,The Host,72710,0.2108663315950723
16,The Fifth Element,18,0.2105263157894737
17,Predator,106,0.20443988269091456
18,Apollo 18,50357,0.20437977982832192
19,Ender's Game,80274,0.20395079136182276
20,Beowulf,2310,0.2029530274475215
21,Independence Daysaster,205126,0.2029530274475215
22,Krull,849,0.20277677641345318
23,Edge of Tomorrow,137113,0.2024645717996314
24,Aliens in the Attic,20856,0.2020475485519274
25,Capricorn One,11935,0.1979082783981174
26,The Host,1255,0.19767387315371682
27,AVP: Alien vs. Predator,395,0.1976738731537168
28,Star Trek Into Darkness,54138,0.19672236884115843
29,E.T. the Extra-Terrestrial,601,0.1925214071641298
30,The Book of Life,228326,0.19134594929397597
31,Journey 2: The Mysterious Island,72545,0.19088542889273336
32,Escape from Planet Earth,68179,0.19088542889273336
33,Treasure Planet,9016,0.19007487139298027
34,John Carter,49529,0.1892994097121204
35,The Helix... Loaded,43630,0.18731716231633883
36,Guardians of the Galaxy,118340,0.1873171623163388
37,Battleship,44833,0.18693292157876878
38,Code 46,2577,0.1860807318911967
39,Impostor,4965,0.18394180184548975
40,The 5th Wave,299687,0.18394180184548975
41,Mad Max Beyond Thunderdome,9355,0.1813690625275029
42,Journey to Saturn,16016,0.18074256993863339
43,The Lovers,79698,0.17996850826633903
44,The Hitchhiker's Guide to the Galaxy,7453,0.17954621161490197
45,Prometheus,70981,0.1777046633277277
46,Home,228161,0.177343107178349
47,The Thing,1091,0.17699808135119718
48,Final Fantasy: The Spirits Within,2114,0.17521916101261562
49,Lockout,81796,0.17521916101261562
50,Silent Running,811,0.17521916101261562
51,Race to Witch Mountain,13836,0.1748149640244195
52,Transformers: Age of Extinction,91314,0.17316974359835272
53,Mission to Mars,2067,0.17292861596651865
54,Starship Troopers,563,0.1711905958155815
55,Galaxina,33155,0.1711905958155815
56,Alien,348,0.17040572913692198
57,Muppets from Space,10208,0.16943474841747155
58,Zathura: A Space Adventure,6795,0.1675415633166782
59,Tears of the Sun,9567,0.16742770563222897
60,Jimmy Neutron: Boy Genius,12589,0.16742770563222897
61,Independence Day: Resurgence,47933,0.16692446522239718
62,Green Lantern,44912,0.16563698349810535
63,Monsters vs Aliens,15512,0.16452254913212452
64,Men in Black II,608,0.16426202236672155
65,Moonraker,698,0.16222142113076254
66,Men in Black,607,0.16122923187750418
67,Doom,8814,0.16059101370939324
68,Iron Man 3,68721,0.15907119074394446
69,Slither,9035,0.15907119074394446
70,The Last of the Mohicans,9361,0.15789473684210528
71,Silver Medalist,33106,0.15737789507292674
72,Under the Skin,97370,0.15609763526361567
73,Armageddon,95,0.15511334686589626
74,Alien³,8077,0.1540171257313038
75,Captain America: Civil War,271110,0.15389675281277312
76,Puss in Boots,417859,0.15389675281277312
77,Species,9348,0.152008377581442
78,Transformers,1858,0.15018785229652767
79,The Inhabited Island,16911,0.15018785229652767
80,The Adventures of Pluto Nash,11692,0.15018785229652765
81,Transformers: Dark of the Moon,38356,0.14843120879858804
82,The Rock,9802,0.14843120879858804
83,Teenage Mutant Ninja Turtles III,1499,0.14808721943977307
84,Avengers: Age of Ultron,99861,0.14673479641335554
85,Earth to Echo,238603,0.14659886790209342
86,Mad Max: Fury Road,76341,0.14601068654819693
87,We Were Soldiers,10590,0.14567913668701626
88,Star Trek: Insurrection,200,0.14567913668701626
89,Terminator Genisys,87101,0.14509525002200235
90,Serenity,16320,0.14509525002200235
91,The Time Machine,2135,0.14509525002200233
92,Underworld: Rise of the Lycans,12437,0.14421498760030763
93,The Astronaut's Wife,2900,0.1442149876003076
94,Gattaca,782,0.14350946197048198
95,Sheena,24264,0.14350946197048198
96,Minority Report,180,0.1433848336691011
97,Epic,116711,0.1433848336691011
98,Logan's Run,10803,0.1433848336691011
99,Galaxy Quest,926,0.1419745572840903
100,Universal Soldier: The Return,10366,0.1419745572840903
